,sort_algo,type,size,ns
0,insertion_sort,shuffled,10,7765
1,library_sort,shuffled,10,9588
2,insertion_sort,all_equal,10,7364
3,library_sort,all_equal,10,9528
4,insertion_sort,ascending,10,6031
5,library_sort,ascending,10,13245
6,insertion_sort,descending,10,6021
7,library_sort,descending,10,11923
8,insertion_sort,pipe_organ,10,14187
9,library_sort,pipe_organ,10,13095
10,insertion_sort,push_front,10,8156
11,library_sort,push_front,10,13405
12,insertion_sort,push_middle,10,6512
13,library_sort,push_middle,10,10820
14,insertion_sort,nearly_sorted,10,6202
15,library_sort,nearly_sorted,10,17513
16,insertion_sort,sawtooth,10,5540
17,library_sort,sawtooth,10,12203
18,insertion_sort,shuffled,100,66987
19,library_sort,shuffled,100,64241
20,insertion_sort,all_equal,100,5681
21,library_sort,all_equal,100,76606
22,insertion_sort,ascending,100,7364
23,library_sort,ascending,100,64152
24,insertion_sort,descending,100,112714
25,library_sort,descending,100,31730
26,insertion_sort,pipe_organ,100,58721
27,library_sort,pipe_organ,100,39575
28,insertion_sort,push_front,100,9919
29,library_sort,push_front,100,43462
30,insertion_sort,push_middle,100,8165
31,library_sort,push_middle,100,41038
32,insertion_sort,nearly_sorted,100,18265
33,library_sort,nearly_sorted,100,53321
34,insertion_sort,sawtooth,100,55084
35,library_sort,sawtooth,100,35808
36,insertion_sort,shuffled,1000,5472179
37,library_sort,shuffled,1000,1331233
38,insertion_sort,all_equal,1000,10449
39,library_sort,all_equal,1000,1765896
40,insertion_sort,ascending,1000,10069
41,library_sort,ascending,1000,1781004
42,insertion_sort,descending,1000,10948635
43,library_sort,descending,1000,1053215
44,insertion_sort,pipe_organ,1000,5404420
45,library_sort,pipe_organ,1000,1778660
46,insertion_sort,push_front,1000,35427
47,library_sort,push_front,1000,2454440
48,insertion_sort,push_middle,1000,27271
49,library_sort,push_middle,1000,1840537
50,insertion_sort,nearly_sorted,1000,1242675
51,library_sort,nearly_sorted,1000,2059202
52,insertion_sort,sawtooth,1000,4884275
53,library_sort,sawtooth,1000,1241943
54,quick_sort,shuffled,10000,1678781
55,std_sort,shuffled,10000,1408438
56,quick_sort,all_equal,10000,143295994
57,std_sort,all_equal,10000,357116
58,quick_sort,ascending,10000,138956382
59,std_sort,ascending,10000,372897
60,quick_sort,descending,10000,184931733
61,std_sort,descending,10000,278668
62,quick_sort,pipe_organ,10000,23761152
63,std_sort,pipe_organ,10000,1594872
64,quick_sort,push_front,10000,236701302
65,std_sort,push_front,10000,1795092
66,quick_sort,push_middle,10000,115403292
67,std_sort,push_middle,10000,1201637
68,quick_sort,nearly_sorted,10000,1771146
69,std_sort,nearly_sorted,10000,655132
70,quick_sort,sawtooth,10000,21066548
71,std_sort,sawtooth,10000,918801
72,quick_sort,shuffled,100000,30281468
73,std_sort,shuffled,100000,18202762
74,std_sort,all_equal,100000,4233732
75,std_sort,ascending,100000,4967423
76,std_sort,descending,100000,3448454
77,std_sort,pipe_organ,100000,25702462
78,std_sort,push_front,100000,54929924
79,std_sort,push_middle,100000,16067075
80,quick_sort,nearly_sorted,100000,38534597
81,std_sort,nearly_sorted,100000,14540752
82,quick_sort,shuffled,10,12203
83,quick_sort,all_equal,10,11381
84,quick_sort,ascending,10,8416
85,quick_sort,descending,10,6161
86,quick_sort,pipe_organ,10,7624
87,quick_sort,push_front,10,8256
88,quick_sort,push_middle,10,8145
89,quick_sort,nearly_sorted,10,8036
90,quick_sort,sawtooth,10,7224
91,quick_sort,shuffled,100,13285
92,quick_sort,all_equal,100,15550
93,quick_sort,ascending,100,33534
94,quick_sort,descending,100,28494
95,quick_sort,pipe_organ,100,15640
96,quick_sort,push_front,100,28925
97,quick_sort,push_middle,100,20017
98,quick_sort,nearly_sorted,100,13896
99,quick_sort,sawtooth,100,17483
100,quick_sort,shuffled,1000,117071
101,quick_sort,all_equal,1000,928970
102,quick_sort,ascending,1000,938418
103,quick_sort,descending,1000,984215
104,quick_sort,pipe_organ,1000,178979
105,quick_sort,push_front,1000,1800852
106,quick_sort,push_middle,1000,692802
107,quick_sort,nearly_sorted,1000,77076
108,quick_sort,sawtooth,1000,126559
109,library_sort,shuffled,10000,166910370
110,library_sort,all_equal,10000,280215507
111,library_sort,ascending,10000,420032863
112,library_sort,descending,10000,248478765
113,library_sort,pipe_organ,10000,272881355
114,library_sort,push_front,10000,372644804
115,library_sort,push_middle,10000,400024435
116,library_sort,nearly_sorted,10000,302292628
117,library_sort,sawtooth,10000,337086698
118,insertion_sort,all_equal,100000,607892
119,insertion_sort,ascending,100000,632939
120,insertion_sort,push_front,100000,2743869
121,insertion_sort,push_middle,100000,1773280
122,std_sort,sawtooth,100000,34400755
123,std_sort,shuffled,10,5931
124,std_sort,ascending,10,7023
125,std_sort,pipe_organ,10,8025
126,std_sort,push_middle,10,8095
127,std_sort,sawtooth,10,5821
128,std_sort,all_equal,100,8206
129,std_sort,descending,100,9508
130,std_sort,push_front,100,19447
131,std_sort,nearly_sorted,100,10420
132,std_sort,shuffled,1000,271414
133,std_sort,ascending,1000,36559
134,std_sort,pipe_organ,1000,109938
135,std_sort,push_middle,1000,100670
136,std_sort,sawtooth,1000,75603
137,insertion_sort,all_equal,10000,60274
138,insertion_sort,push_front,10000,281593
139,insertion_sort,nearly_sorted,10000,237101561
140,std_sort,all_equal,10,5330
141,std_sort,push_front,10,8486
142,std_sort,shuffled,100,15820
143,std_sort,pipe_organ,100,20068
144,std_sort,sawtooth,100,14939
145,std_sort,descending,1000,29185
146,std_sort,nearly_sorted,1000,60815
147,insertion_sort,ascending,10000,69292
148,insertion_sort,push_middle,10000,178378
149,std_sort,descending,10,8135
150,std_sort,ascending,100,8486
151,std_sort,all_equal,1000,17352
152,std_sort,nearly_sorted,10,11602
153,std_sort,push_front,1000,175453
154,std_sort,push_middle,100,8876
155,insertion_sort,shuffled,10000,833511778
156,insertion_sort,pipe_organ,10000,797077586
157,insertion_sort,sawtooth,10000,797410321
158,insertion_sort,descending,10000,1638498021
159,quick_sort,pipe_organ,100000,2157405833
160,quick_sort,sawtooth,100000,3895930304
161,quick_sort,push_middle,100000,13134404676
162,insertion_sort,nearly_sorted,100000,20173672763
163,library_sort,descending,100000,24156602413
164,quick_sort,push_front,100000,24745296068
165,quick_sort,descending,100000,25643574629
166,quick_sort,all_equal,100000,26303664268
167,library_sort,sawtooth,100000,25971038287
168,quick_sort,ascending,100000,26915229911
169,library_sort,shuffled,100000,27614292002
170,library_sort,pipe_organ,100000,28993967694
171,library_sort,push_front,100000,31164721063
172,library_sort,all_equal,100000,31886145305
173,library_sort,nearly_sorted,100000,31842783437
174,library_sort,push_middle,100000,32147628242
175,library_sort,ascending,100000,32371084307
176,insertion_sort,sawtooth,100000,56488949591
177,insertion_sort,pipe_organ,100000,61505140984
178,insertion_sort,shuffled,100000,62300474278
179,insertion_sort,descending,100000,116622193883
